Sport-Indices,Distance,Similarity,Sport_X,Sport_Y
"('Basketball', 'Martial Arts')",0.8995390031983703,0.5264435204100777,Basketball,Martial Arts
"('Basketball', 'Tennis')",0.6326946936812159,0.6124843817219205,Basketball,Tennis
"('Basketball', 'Gymnastics')",1.4940114057104512,0.4009604758463954,Basketball,Gymnastics
"('Basketball', 'Baseball/Softball')",0.8548918126757435,0.5391150002206687,Basketball,Baseball/Softball
"('Basketball', 'Soccer')",0.5336824660725752,0.6520254499360489,Basketball,Soccer
"('Basketball', 'Skiing: Alpine')",1.1409884980256082,0.46707397116901234,Basketball,Skiing: Alpine
"('Basketball', 'Water Polo')",0.7522758915314502,0.5706863883894574,Basketball,Water Polo
"('Basketball', 'Rugby')",1.010537662452634,0.4973793919284806,Basketball,Rugby
"('Basketball', 'Lacrosse')",0.535171885389829,0.6513928567328264,Basketball,Lacrosse
"('Basketball', 'Rodeo: Steer Wrestling')",1.5689868005271963,0.3892585200495325,Basketball,Rodeo: Steer Wrestling
"('Basketball', 'Track and Field: Pole Vault')",1.5894858034954795,0.3861770543982616,Basketball,Track and Field: Pole Vault
"('Basketball', 'Field Hockey')",0.8673494491416419,0.5355184057593861,Basketball,Field Hockey
"('Basketball', 'Speed Skating')",1.7371975436166065,0.3653371684232623,Basketball,Speed Skating
"('Basketball', 'Figure Skating')",1.5139069389434725,0.39778719908393784,Basketball,Figure Skating
"('Basketball', 'Cycling: Distance')",1.5817520049619387,0.38733387175765643,Basketball,Cycling: Distance
"('Basketball', 'Volleyball')",0.945057195525619,0.5141236989330624,Basketball,Volleyball
"('Basketball', 'Racquetball/Squash')",1.1578436598627404,0.4634256033468197,Basketball,Racquetball/Squash
"('Basketball', 'Surfing')",1.4493227461651783,0.40827612513118827,Basketball,Surfing
"('Basketball', 'Fencing')",1.1074161768817545,0.47451472137774586,Basketball,Fencing
"('Basketball', 'Skiing: Freestyle')",1.5210184473816621,0.3966650863021662,Basketball,Skiing: Freestyle
"('Basketball', 'Team Handball')",1.1589248285296694,0.4631935242882206,Basketball,Team Handball
"('Basketball', 'Cycling: Sprints')",1.6350767132421402,0.3794955930408652,Basketball,Cycling: Sprints
"('Basketball', 'Bobsledding/Luge')",1.7981973484317055,0.35737293531511133,Basketball,Bobsledding/Luge
"('Basketball', 'Ski Jumping')",1.920923320494687,0.3423574980498428,Basketball,Ski Jumping
"('Basketball', 'Badminton')",1.3561376864328833,0.42442341369021086,Basketball,Badminton
"('Basketball', 'Skiing: Nordic')",1.6370071307269587,0.37921778380793547,Basketball,Skiing: Nordic
"('Basketball', 'Auto Racing')",2.030838564432741,0.3299416906380701,Basketball,Auto Racing
"('Basketball', 'Track and Field: High Jump')",1.8671549938170537,0.3487777961625634,Basketball,Track and Field: High Jump
"('Basketball', 'Track and Field: Long, Triple jumps')",1.7863616856582816,0.35889095272416105,Basketball,"Track and Field: Long, Triple jumps"
"('Basketball', 'Diving')",2.2271541295192145,0.3098705422380868,Basketball,Diving
"('Basketball', 'Swimming (all strokes): Distance')",1.902708789476805,0.3445057952851838,Basketball,Swimming (all strokes): Distance
"('Basketball', 'Skateboarding')",1.724225293969297,0.3670768354635468,Basketball,Skateboarding
"('Basketball', 'Track and Field: Sprints')",2.0800403440911217,0.3246710718963282,Basketball,Track and Field: Sprints
"('Basketball', 'Rowing')",1.9842047705664743,0.335097648078009,Basketball,Rowing
"('Basketball', 'Rodeo: Calf Roping')",1.6262262690502123,0.380774502100177,Basketball,Rodeo: Calf Roping
"('Basketball', 'Track and Field: Distance')",1.879276150332754,0.34730951384584324,Basketball,Track and Field: Distance
"('Basketball', 'Rodeo: Bull/Bareback/Bronc Riding')",2.18128554374571,0.31433833469176103,Basketball,Rodeo: Bull/Bareback/Bronc Riding
"('Basketball', 'Track and Field: Middle Distance')",1.799658981926719,0.35718635964434575,Basketball,Track and Field: Middle Distance
"('Basketball', 'Weight-Lifting')",2.4089857764809612,0.29334237968932897,Basketball,Weight-Lifting
"('Basketball', 'Swimming (all strokes): Sprints')",2.014377400403565,0.331743463796577,Basketball,Swimming (all strokes): Sprints
"('Basketball', 'Water Skiing')",1.8520406097386546,0.35062614346562004,Basketball,Water Skiing
"('Basketball', 'Table Tennis')",1.7103441167016136,0.3689568397746343,Basketball,Table Tennis
"('Basketball', 'Track and Field: Weights')",2.202228907063967,0.312282484801148,Basketball,Track and Field: Weights
"('Basketball', 'Canoe/Kayak')",1.9140030916236719,0.3431705350191662,Basketball,Canoe/Kayak
"('Basketball', 'Horse Racing')",2.0096857943883704,0.33226059739010744,Basketball,Horse Racing
"('Basketball', 'Golf')",2.0402804190897164,0.3289170280876288,Basketball,Golf
"('Basketball', 'Cheerleading')",2.36708275006524,0.296992997864583,Basketball,Cheerleading
"('Basketball', 'Roller Skating')",2.141205506431998,0.31834911722661224,Basketball,Roller Skating
"('Basketball', 'Equestrian')",2.3728818809213683,0.29648236591280525,Basketball,Equestrian
"('Basketball', 'Archery')",2.454453148035831,0.2894814192424611,Basketball,Archery
"('Basketball', 'Curling')",2.401545318476398,0.2939840297197377,Basketball,Curling
"('Basketball', 'Bowling')",2.571017728744029,0.28003221377221005,Basketball,Bowling
"('Basketball', 'Shooting')",2.667186383522649,0.2726886215800719,Basketball,Shooting
